# IMA 知识库上传追踪表
# 用法: 每上传一份文件后，将对应行的 uploaded 改为 true，并填写 uploaded_date
#
# 文件格式: CSV (UTF-8)
# 列: 序号,分类,文件名,标题,发布机构,发布日期,重要程度,上传状态,上传日期,IMA知识库名称,Copilot测试通过

序号,分类,文件名,标题,发布机构,发布日期,重要程度,上传状态,上传日期,IMA知识库名称,Copilot测试通过

# ===== 01-法规政策库（17份） =====
1,01-法规政策库,01-无人驾驶航空器飞行管理暂行条例.md,无人驾驶航空器飞行管理暂行条例,国务院中央军委,2023-05-31,★★★★★,true,2026-08-16,法规政策库,
2,01-法规政策库,02-民用无人驾驶航空器运行安全管理规则CCAR-92.md,CCAR-92部,交通运输部,2024-01-01,★★★★★,true,2026-08-16,法规政策库,
3,01-法规政策库,03-通用机场管理规定.md,通用机场管理规定,交通运输部,2024-11-26,★★★★☆,true,2026-08-16,法规政策库,
4,01-法规政策库,04-2024年政府工作报告-低空经济.md,2024政府工作报告,国务院,2024-03-05,★★★★★,true,2026-08-16,法规政策库,
5,01-法规政策库,05-2025年政府工作报告-低空经济.md,2025政府工作报告,国务院,2025-03-00,★★★★★,true,2026-08-16,法规政策库,
6,01-法规政策库,06-国家发改委设立低空经济发展司.md,发改委设立低空司,发改委,2024-12-27,★★★★★,true,2026-08-16,法规政策库,
7,01-法规政策库,07-低空经济及其核心产业统计分类试行.md,统计分类试行,发改委统计局,2025-12-26,★★★★☆,true,2026-08-16,法规政策库,
8,01-法规政策库,08-关于推动低空保险高质量发展的实施意见.md,低空保险实施意见,发改委金融监管总局民航局,2026-02-12,★★★★☆,true,2026-08-16,法规政策库,
9,01-法规政策库,09-关于加快场景培育和开放推动新场景大规模应用的实施意见.md,场景培育实施意见,国务院办公厅,2025-11-00,★★★★☆,true,2026-08-16,法规政策库,
10,01-法规政策库,10-低空经济标准体系建设指南2025年版.md,标准体系建设指南,十部门,2025-12-00,★★★★★,true,2026-08-16,法规政策库,
11,01-法规政策库,11-通用航空装备创新应用实施方案2024-2030.md,通航装备实施方案,四部门,2024-03-27,★★★★★,true,2026-08-16,法规政策库,
12,01-法规政策库,12-空中游览和跳伞飞行服务市场管理暂行办法.md,空中游览管理办法,民航局,2025-09-00,★★★☆☆,true,2026-08-16,法规政策库,
13,01-法规政策库,13-深圳经济特区低空经济产业促进条例.md,深圳低空经济条例,深圳人大常委会,2023-12-29,★★★★★,true,2026-08-16,法规政策库,
14,01-法规政策库,14-深圳市低空基础设施高质量建设方案2024-2026.md,深圳基础设施方案,深圳发改委,2025-08-00,★★★★☆,true,2026-08-16,法规政策库,
15,01-法规政策库,15-苏州市低空经济高质量发展实施方案2024-2026.md,苏州实施方案,苏州市政府,2024-02-06,★★★★☆,true,2026-08-16,法规政策库,
16,01-法规政策库,16-苏州市低空经济促进条例.md,苏州低空经济条例,苏州人大常委会,2025-10-01,★★★★☆,true,2026-08-16,法规政策库,
17,01-法规政策库,17-成都市加快提升低空飞行能力培育低空经济市场若干政策措施.md,成都政策措施,成都发改委,2025-06-00,★★★★☆,true,2026-08-16,法规政策库,

# ===== 02-行业标准库（16份） =====
18,02-行业标准库,01-GB46761-2025民用无人驾驶航空器实名登记和激活要求.md,GB46761-2025,市场监管总局,2025-10-31,★★★★★,true,2026-08-16,行业标准库,
19,02-行业标准库,02-GB46750-2025民用无人驾驶航空器系统运行识别规范.md,GB46750-2025,市场监管总局,2025-10-31,★★★★★,true,2026-08-16,行业标准库,
20,02-行业标准库,03-GB46860-2025民用无人驾驶航空器唯一产品识别码.md,GB46860-2025,市场监管总局,2025-12-02,★★★★☆,true,2026-08-16,行业标准库,
21,02-行业标准库,04-MHT2017-2025无人机系统分布式操作自动化等级测试.md,MHT2017-2025,民航局,2025-06-20,★★★★☆,true,2026-08-16,行业标准库,
22,02-行业标准库,05-MHT5026-2026通用机场规划建设指南第1部分.md,MHT5026-2026,民航局,2026-04-00,★★★☆☆,true,2026-08-16,行业标准库,
23,02-行业标准库,06-MH5013-2023民用直升机场飞行场地技术标准.md,MH5013-2023,民航局,2023-00-00,★★★★☆,true,2026-08-16,行业标准库,
24,02-行业标准库,07-MHT4054-2022城市场景无人机物流航线划设规范.md,MHT4054-2022,民航局,2022-08-01,★★★★☆,true,2026-08-16,行业标准库,
25,02-行业标准库,08-MHT4055-2022低空飞行服务系统技术规范.md,MHT4055-2022,民航局,2022-10-28,★★★☆☆,true,2026-08-16,行业标准库,
26,02-行业标准库,09-动力提升航空器适航标准征求意见稿.md,eVTOL适航标准,民航局,2025-12-15,★★★★★,true,2026-08-16,行业标准库,
27,02-行业标准库,10-限用类无人驾驶航空器系统适航标准征求意见稿.md,限用类无人机适航标准,民航局,2025-12-15,★★★★☆,true,2026-08-16,行业标准库,
28,02-行业标准库,11-中型民用无人驾驶航空器适航审定指南试行.md,中型无人机审定指南,民航局,2025-12-00,★★★★☆,true,2026-08-16,行业标准库,
29,02-行业标准库,12-GBT44235-2025移动通信系统通感融合技术要求.md,GBT44235-2025,市场监管总局,2025-03-01,★★★★☆,true,2026-08-16,行业标准库,
30,02-行业标准库,13-TFJIOT001-2024低空经济5G空中传输专网技术规范.md,TFJIOT001-2024,福建物联网,2024-09-30,★★★☆☆,true,2026-08-16,行业标准库,
31,02-行业标准库,14-民用轻小型无人机物流配送试运行审定指南.md,物流配送审定指南,民航局,2024-00-00,★★★★☆,true,2026-08-16,行业标准库,
32,02-行业标准库,15-军民通用低空物流配送服务管理规范征求意见稿.md,军民通用物流规范,和平利用军工协会,2026-03-00,★★★☆☆,true,2026-08-16,行业标准库,
33,02-行业标准库,16-低空经济标准体系建设指南2025年版.md,标准体系建设指南,市场监管总局,2026-00-00,★★★★★,true,2026-08-16,行业标准库,
